"Age","Delay","Sex","Education","Movie_Language","English_Level","Immersion","Frequency_3D","Characters_Familiarity","Enjoyment","Memory","Memory_Global","Presence","Emotion","Interoception"
27.6638351966554,1,"Female",3,"VO-STFR",3,"2D",3,5,5,60,0.504820190495358,4.22222222222222,3.66666666666667,4.66666666666667
30.2703248153426,1,"Male",3,"VO-STFR",6,"2D",1,6,3,72,0.712067779435731,3.77777777777778,4.33333333333333,NA
29.1340924710619,2,"Female",3,"VO-STFR",4,"2D",1,4,2,40,-0.32820218783896,2.55555555555556,3,4
23.1736640047992,2,"Female",3,"VO-STFR",7,"2D",5,5,6,60,0.424081782877277,3.22222222222222,4.66666666666667,6.33333333333333
34.8316816480453,3,"Male",3,"VO-STFR",4,"2D",1,5,2,44,0.310279397375647,1.66666666666667,2,4.66666666666667
25.6131411584235,4,"Female",3,"VO-STFR",6,"3D",4,4,6,56,0.121578146367763,4.22222222222222,5,6.66666666666667
23.9101615966341,5,"Male",2,"VF",3,"2D",3,6,5,44,-0.12241384571731,4.88888888888889,4.33333333333333,2.66666666666667
15.551324615697,1,"Male",0,"VF",4,"2D",4,7,6,56,0.213924339234605,4.33333333333333,3.66666666666667,2.66666666666667
18.4206535236636,4,"Male",1,"VF",7,"3D",1,7,7,64,0.605980018668728,5.88888888888889,5,3.33333333333333
21.0326189608775,6,"Male",2,"VF",5,"3D",4,4,4,60,0.230715458479057,3.66666666666667,2.33333333333333,5
26.4536793022648,6,"Male",2,"VO-STFR",6,"2D",1,7,7,68,0.455793918280538,6.33333333333333,4.66666666666667,4.33333333333333
21.7061446396559,6,"Male",1,"VO-STFR",7,"2D",2,7,6,68,0.732380478649765,5.22222222222222,4.33333333333333,5.33333333333333
24.7041552829989,6,"Male",2,"VO-STFR",6,"2D",2,7,6,60,0.303674542240485,5.11111111111111,5.33333333333333,4.33333333333333
28.4386635181769,6,"Male",3,"VO-STFR",6,"2D",2,7,2,60,0.385852392880598,2.33333333333333,2.33333333333333,3.66666666666667
16.9859890696803,1,"Male",0,"VF",7,"3D",3,6,6,64,0.749434741426383,5.55555555555556,5.33333333333333,2.33333333333333
20.3317141894658,6,"Female",2,"VF",7,"3D",4,6,7,76,0.75348708888743,4.11111111111111,4.66666666666667,4
29.6570331403574,3,"Male",2,"VF",6,"3D",2,5,1,60,0.324264677083145,1.33333333333333,2,3.33333333333333
21.4323537133232,0,"Male",2,"VF",5,"2D",1,7,7,76,1.18842892616212,5.22222222222222,6.33333333333333,4.33333333333333
28.1922516844775,6,"Male",2,"VF",4,"3D",1,7,3,44,-0.138938437001747,2.55555555555556,3.33333333333333,4.33333333333333
48.4226632312002,2,"Male",3,"VO-STFR",6,"3D",4,6,5,60,0.599469356058745,3.33333333333333,3.33333333333333,5.33333333333333
22.4180010481209,7,"Male",3,"VF",5,"3D",3,5,5,36,-0.49855910587435,3.88888888888889,4,3.66666666666667
21.4350916225866,1,"Male",2,"VF",5,"3D",6,5,6,64,0.821672679569671,5.22222222222222,4.66666666666667,4.33333333333333
23.9649197819007,4,"Female",3,"VO-STFR",7,"2D",1,5,3,68,1.03063498202295,1.88888888888889,2,4.66666666666667
28.4742563386001,5,"Male",1,"VF",2,"2D",2,3,5,48,-0.0517562869724164,2.22222222222222,4,4
18.5301698941967,1,"Male",2,"VO-STFR",6,"3D",3,6,5,64,0.280373591920961,4.55555555555556,3.66666666666667,5
23.5733987572449,7,"Female",3,"VO-STFR",7,"3D",1,7,7,52,-0.190919263431464,6.55555555555556,6,5.33333333333333
28.8356603613593,4,"Male",3,"VO-STFR",5,"2D",2,6,5,76,1.03842892616212,4.66666666666667,3.66666666666667,5
24.5344049086727,5,"Male",3,"VO-STFR",6,"3D",2,3,5,56,0.317984933608608,4.22222222222222,3.66666666666667,3.33333333333333
19.6828296940573,3,"Male",2,"VF",7,"2D",4,7,6,56,0.541870306553862,4.77777777777778,5,5.33333333333333
23.1764019140625,7,"Male",0,"VF",4,"2D",4,7,6,56,0.131949393933354,6.11111111111111,5,6.66666666666667
26.7083048637543,2,"Male",1,"VO-STFR",5,"2D",1,7,6,64,0.395431754646268,4.77777777777778,4.66666666666667,4
31.3600127021467,2,"Male",2,"VO-STFR",7,"2D",4,6,6,56,0.315140521677318,5.11111111111111,5,3.66666666666667
25.6514718881101,2,"Male",1,"VO-STFR",6,"3D",3,6,5,76,1.19781853288852,4.55555555555556,4.33333333333333,3
23.3160352864922,3,"Male",1,"VO-STFR",5,"3D",3,6,4,52,0.141131958718294,3.33333333333333,4,6
29.7857148757337,7,"Female",3,"VF",4,"2D",3,6,5,56,0.385140559348853,2.88888888888889,4.33333333333333,5
23.4146000199719,6,"Male",3,"VO-STFR",6,"3D",5,7,5,40,-0.354736663535303,6.66666666666667,2.66666666666667,7
30.826120395798,2,"Male",3,"VO-STFR",7,"3D",7,7,5,76,1.16621078992993,3,2.66666666666667,2.33333333333333
27.0587572494601,3,"Male",3,"VO-STFR",4,"3D",3,6,6,52,0.113277575552713,3.44444444444444,4.66666666666667,3.33333333333333
18.0318704082712,4,"Male",0,"VF",5,"2D",3,6,6,76,0.838428926162123,2.66666666666667,5,4
23.9567060541107,3,"Female",3,"VF",6,"3D",3,6,6,48,-0.0726465842775721,5.66666666666667,4.66666666666667,4.33333333333333
19.4829623178345,0,"Male",1,"VF",2,"2D",1,5,3,68,1.02237506367443,3.11111111111111,2,5.33333333333333
22.5959651502372,1,"Male",2,"VF",5,"2D",1,6,2,80,1.10722966514725,3,2.33333333333333,4.66666666666667
22.7766671616168,5,"Female",2,"VO-STFR",7,"2D",1,7,6,52,0.395330723608129,3,3,3.66666666666667
27.9294123951981,7,"Male",2,"VF",5,"3D",4,7,6,56,0.30189817561184,4.88888888888889,5.33333333333333,4.33333333333333
